Day,Market Participant,Equity Option Contracts,Equity Option Trade Count,Equity Option Notional,Index/Other Option Contracts,Index/Other Option Trade Count,Index/Other Option Notional,Total Option Contracts,Total Trade Count,Total Option Notional
2023-07-06,Nasdaq GEMX (H),1161109,157553,211998330.000000,640,201,7023345.000000,1161749,157754,219021675.000000
2023-07-06,Nasdaq ISE (I),2180543,263378,629072275.000000,20190,7608,103139977.000000,2200733,270986,732212252.000000
2023-07-06,Nasdaq MRX (J),727193,100908,141091808.000000,0,0,0.000000,727193,100908,141091808.000000
2023-07-06,MIAX Options Exchange (M),2379201,358044,480424613.000000,90,4,33750.000000,2379291,358048,480458363.000000
2023-07-06,NYSE Arca Options (N),4342455,570942,1175861000.000000,0,0,0.000000,4342455,570942,1175861000.000000
2023-07-06,MIAX Pearl (P),2546882,263937,476763127.000000,0,0,0.000000,2546882,263937,476763127.000000
2023-07-06,NASDAQ Options Market (Q),2399260,345970,643695035.000000,0,0,0.000000,2399260,345970,643695035.000000
2023-07-06,Nasdaq BX Options (T),1360762,210340,359926865.000000,0,0,0.000000,1360762,210340,359926865.000000
2023-07-06,Cboe C2 Options Exchange (W),1642695,201766,296100788.000000,11053,4016,19310485.000000,1653748,205782,315411273.000000
2023-07-06,Nasdaq PHLX (X),4662645,260628,1514019029.000000,16602,6923,103922914.000000,4679247,267551,1617941943.000000
2023-07-06,Cboe BZX Options Exchange (Z),2098363,282726,484280037.000000,833,300,1504781.000000,2099196,283026,485784818.000000
2023-07-05,NYSE American Options (A),2244324,218831,583817243.000000,0,0,0.000000,2244324,218831,583817243.000000
2023-07-05,BOX Options (B),2464591,256872,1232954359.000000,0,0,0.000000,2464591,256872,1232954359.000000
2023-07-05,Cboe Options Exchange (C),3731478,532777,1202878138.000000,2869498,446533,4102650175.000000,6600976,979310,5305528313.000000
2023-07-05,MIAX Emerald (D),919219,160284,234088536.000000,0,0,0.000000,919219,160284,234088536.000000
2023-07-05,Cboe EDGX Options Exchange (E),1753265,278371,338063644.000000,0,0,0.000000,1753265,278371,338063644.000000
2023-07-05,Nasdaq GEMX (H),931431,138146,178712940.000000,470,226,5966955.000000,931901,138372,184679895.000000
2023-07-05,Nasdaq ISE (I),1834447,225416,569007657.000000,17527,7345,111914851.500000,1851974,232761,680922508.500000
2023-07-05,Nasdaq MRX (J),626844,92245,127079222.000000,0,0,0.000000,626844,92245,127079222.000000
2023-07-05,MIAX Options Exchange (M),2081867,348858,483118858.000000,0,0,0.000000,2081867,348858,483118858.000000
2023-07-05,NYSE Arca Options (N),3870203,526008,978261592.000000,0,0,0.000000,3870203,526008,978261592.000000
2023-07-05,MIAX Pearl (P),1953676,216609,357399357.000000,0,0,0.000000,1953676,216609,357399357.000000
2023-07-05,NASDAQ Options Market (Q),1766130,270242,464779364.000000,0,0,0.000000,1766130,270242,464779364.000000
2023-07-05,Nasdaq BX Options (T),1006608,168440,274924684.000000,0,0,0.000000,1006608,168440,274924684.000000
2023-07-05,Cboe C2 Options Exchange (W),1325773,172890,232504215.000000,8259,2821,7988540.000000,1334032,175711,240492755.000000
2023-07-05,Nasdaq PHLX (X),2826158,139998,2130071984.000000,10130,5212,64182767.000000,2836288,145210,2194254751.000000
2023-07-05,Cboe BZX Options Exchange (Z),1620358,238553,419003907.000000,894,171,1374065.000000,1621252,238724,420377972.000000
2023-07-03,NYSE American Options (A),1413341,142550,314529631.000000,0,0,0.000000,1413341,142550,314529631.000000
2023-07-03,BOX Options (B),1246346,171972,476930080.000000,0,0,0.000000,1246346,171972,476930080.000000
2023-07-03,Cboe Options Exchange (C),2497309,382354,716959743.000000,1457302,235389,2512312413.000000,3954611,617743,3229272156.000000
2023-07-03,MIAX Emerald (D),790861,138126,213389013.000000,0,0,0.000000,790861,138126,213389013.000000
2023-07-03,Cboe EDGX Options Exchange (E),1229707,203827,252996568.000000,0,0,0.000000,1229707,203827,252996568.000000
2023-07-03,Nasdaq GEMX (H),724874,114116,156202094.000000,448,77,3349325.000000,725322,114193,159551419.000000
2023-07-03,Nasdaq ISE (I),1226284,173972,498458949.000000,11264,4293,59281553.000000,1237548,178265,557740502.000000
2023-07-03,Nasdaq MRX (J),462828,72883,119020852.000000,0,0,0.000000,462828,72883,119020852.000000
2023-07-03,MIAX Options Exchange (M),1388329,251669,384971513.000000,0,0,0.000000,1388329,251669,384971513.000000
2023-07-03,NYSE Arca Options (N),2300214,356427,627623299.000000,1,1,930.000000,2300215,356428,627624229.000000
2023-07-03,MIAX Pearl (P),1406371,163614,283367893.000000,0,0,0.000000,1406371,163614,283367893.000000
2023-07-03,NASDAQ Options Market (Q),1258272,218620,322550772.000000,0,0,0.000000,1258272,218620,322550772.000000
2023-07-03,Nasdaq BX Options (T),604029,111604,136218812.000000,0,0,0.000000,604029,111604,136218812.000000
2023-07-03,Cboe C2 Options Exchange (W),950081,128114,172595658.000000,6451,1813,8689933.000000,956532,129927,181285591.000000
2023-07-03,Nasdaq PHLX (X),2334602,184869,911329277.000000,9282,4202,45780058.000000,2343884,189071,957109335.000000
2023-07-03,Cboe BZX Options Exchange (Z),1247837,193413,328932934.000000,443,56,723300.000000,1248280,193469,329656234.000000
2023-06-30,NYSE American Options (A),3101619,256110,683128526.000000,0,0,0.000000,3101619,256110,683128526.000000
2023-06-30,BOX Options (B),2646221,289978,764550131.000000,0,0,0.000000,2646221,289978,764550131.000000
2023-06-30,Cboe Options Exchange (C),4951452,683714,1159429971.000000,4638916,594453,9499723776.000000,9590368,1278167,10659153747.000000
2023-06-30,MIAX Emerald (D),1309145,212958,306801437.000000,0,0,0.000000,1309145,212958,306801437.000000
2023-06-30,Cboe EDGX Options Exchange (E),2475455,366825,441258686.000000,0,0,0.000000,2475455,366825,441258686.000000
2023-06-30,Nasdaq GEMX (H),1340787,176650,242462456.000000,1097,325,14230587.000000,1341884,176975,256693043.000000
2023-06-30,Nasdaq ISE (I),2764487,323326,992672740.000000,17033,6954,136646180.000000,2781520,330280,1129318920.000000
2023-06-30,Nasdaq MRX (J),862444,119772,182088270.000000,0,0,0.000000,862444,119772,182088270.000000
2023-06-30,MIAX Options Exchange (M),3131800,435975,645823006.000000,0,0,0.000000,3131800,435975,645823006.000000
2023-06-30,NYSE Arca Options (N),5223160,670789,1280321787.000000,0,0,0.000000,5223160,670789,1280321787.000000
2023-06-30,MIAX Pearl (P),2794462,286233,493164711.000000,0,0,0.000000,2794462,286233,493164711.000000
2023-06-30,NASDAQ Options Market (Q),2543993,374174,597401434.000000,0,0,0.000000,2543993,374174,597401434.000000
2023-06-30,Nasdaq BX Options (T),1227299,192824,242415052.000000,0,0,0.000000,1227299,192824,242415052.000000
2023-06-30,Cboe C2 Options Exchange (W),1943626,237581,334288372.000000,14383,4559,16434044.000000,1958009,242140,350722416.000000
2023-06-30,Nasdaq PHLX (X),4321641,285431,1212305421.000000,19758,8523,161920128.000000,4341399,293954,1374225549.000000
2023-06-30,Cboe BZX Options Exchange (Z),2362558,304986,513371519.000000,558,132,925619.000000,2363116,305118,514297138.000000
2023-06-29,NYSE American Options (A),2166066,208234,496008021.000000,0,0,0.000000,2166066,208234,496008021.000000
2023-06-29,BOX Options (B),2247160,241640,917959220.000000,0,0,0.000000,2247160,241640,917959220.000000
2023-06-29,Cboe Options Exchange (C),3806588,527930,967253464.000000,2835123,537453,4089917779.000000,6641711,1065383,5057171243.000000
2023-06-29,MIAX Emerald (D),1027495,170216,192933521.000000,0,0,0.000000,1027495,170216,192933521.000000
