Id;Referencia;Nombre
308;013394543;Promo Neto Colgante Tiffany 45l Serie Praga Ambar 3xe27 (25x45)
309;013881083;Plafon Fluor. T5 2x54w Serie Amatista Niquel (125x6.5)
310;013884803;Plafon Fluor. T5 2x24w Serie Amatista Niquel (65x6.5)
311;013887803;Plafon Fluor. T5 Serie Amatista 2x39w Niquel (95x6.5)
312;014084420;Plafon Fluor. Cir. Serie Gema T5 2x22w Cromo (60x30) 
313;014086620;Plafon Fluor Cir. Serie Gema T5 3x22w Cromo (87x30)
314;014382201;Promo Neto Downlight Serie Apol 2xe27 (22x22) Blanco
315;014382203;Promo Neto Downlight Serie Apol 2xe27 (22x22) Niquel
316;014693701;Colgante Oslo Cromo/blanco 3xe27 D. 37 Cm
318;014695501;Colgante Oslo Cromo/blanco 5xe27 D. 55 Cm
319;014695509;Colgante Oslo Cromo/negro 5xe27 D. 55cm
320;014697301;Colgante Oslo Cromo/blanco 6xe27 D 73cm
321;014697309;Colgante Oslo Cromo/negro 6xe27 D 73cm
322;014699001;Colgante Oslo Cromo/blanco 8xe27 D 90cm
325;015071002;Sobremesa Triple Pantalla Serie Frisia 1xe27 Marron (60x30)
327;015071018;Sobremesa Triple Pantalla Serie Frisia 1xe27 Berenjena (60x30)
328;015071101;Sobremesa Peq. Doble Pant. Serie Frisia 1xe27 Blanco (29x14)
330;015071109;Sobremesa Peq. Doble Pant. Serie Frisia 1xe27 Negro (29x14)
331;015071118;Sobremesa Peq. Doble Pant. Serie Frisia 1xe27 Berenjena (29x14)
335;015091018;Colgante Peq Triple Pantalla Serie Frisia 1xe27 Berenjena (regx14)
336;015094501;Colgante Peq Triple Pantalla Serie Frisia 2xe27 Blanco (regx45)
337;015094509;Colgante Peq Triple Pantalla Serie Frisia 2xe27 Negro (regx45)
338;015094518;Colgante Peq Triple Pantalla Serie Frisia 2xe27 Berenjena (regx45)
339;015095501;Colgante Med Triple Pantalla Serie Frisia 3xe27 Blanco (regx55)
340;015095502;Colgante Med Triple Pantalla Serie Frisia 3xe27 Marron (regx55)
341;015095509;Colgante Med Triple Pantalla Serie Frisia 3xe27 Negro (regx55)
342;015095518;Colgante Med Triple Pantalla Serie Frisia 3xe27 Berenjena (regx55)
343;015099001;Colgante Gr. Triple Pantalla Serie Frisia 4xe27 Blanco (regx90)
344;015099002;Colgante Gr. Triple Pantalla Serie Frisia 4xe27 Marron (regx90)
345;015099009;Colgante Gr. Triple Pantalla Serie Frisia 4xe27 Negro (regx90)
346;015099018;Colgante Gr. Triple Pantalla Serie Frisia 4xe27 Berenjena (regx90)
347;015353020;Lampara Laser Serie Orleans Cromo 3xg9
348;015384020;Lampara Laser En X Serie Orleans Cromo 4xg9
349;015394020;Colgante Laser Cromo Serie Orleans Retro 1xe27 (regx40)
350;015453020;Lampara Laser Serie San Francisco Cromo 3xg9
351;015484020;Lampara Laser En X Serie San Francisco Cromo 4xg9
352;015494020;Colgante Laser Cromo Serie San Francisco Mampost 1xe27 (regx40)
353;015771101;Sobremesa Cristal Peq Belen 1xe14 C/pant Blanca 42x20
354;015771201;Sobremes Cristal Gr. Belen 1xe14 C/panta Blanca 53x28
355;015971109;Sobremesa Cristal Peq Elisabeth 1xe14 C/pant Negra 44X20X2
356;015971209;Sobremesa Cristal Med Elisabeht 1xe14 C/pant Negra 51x28
358;016071229;Sobremesa Cristal Med Serie Eva 1xe14 C/pant Dorada 51x28
362;016371201;Sobremesa Cristal Med Serie Noelia 1xe14 C/pant Planca 51x28
367;018943002;Farola Serie Paula 3xe27 Marron (240x68)
368;018943016;Farola Serie Paula 3xe27 Negro/oro (230x28)
369;018961002;Aplique Serie Paula Marron 1xe27 (38x16)
370;018961016;Aplique Serie Paula Negro Oro 1xe27 (38x16)
371;018991602;Colgante Serie Paula Marron 1xe27 (37x16)
372;018991616;Colgante Exterior Paula Negro Oro 1xe27 (37x16)
373;019153000;Colgante Infantil Serie Mariposa Rosa 1xe27  (25x30)
374;019153004;Colgante Infantil Serie Mariposa Naranja 1xe27 (25x30)
375;019153006;Colgante Infantil Serie Mariposa Verde 1xe27 (25x30)
378;019172104;Sobremesa Infantil Serie Mariposa Naranja 1xe14 (39x21)
379;019172106;Sobremesa Infantil Serie Mariposa Verde 1xe14 (39x21)
381;019371002;Sobremesa Rattan Serie Tanger Marron 1xe14 (40x15)
383;019395502;Colgante Rattan Serie Tanger Marron 1xe27 (22x55)
391;019655018;Lampara Cristal Serie Creta Cromo/berenjena 5xe14 (46x51)
392;019658009;Lampara Cristal Serie Creta Cromo/negro 8xe14 (49x62)
393;019658010;Lampara Cristal Serie Creta Cromo/plata 8xe14 (49x62)
401;019671109;Sobremesa Grand. Cristal Serie Creta Cromo/negra 1xe14 (51x28)
402;019671110;Sobremesa Grand. Cristal Serie Creta Cromo/plata 1xe14 (51x28)
403;019671115;Sobremesa Grand. Cristal Serie Creta Cromo/beis 1xe14 (51x28)
404;019671209;Sobremesa Peq.. Cristal Serie Creta Cromo/negro 1xe14 (38x21)
406;019671215;Sobremesa Peq. Cristal Serie Creta Cromo/beis 1xe14 (38x21)
411;019755009;Lampara Cristal Serie Atenas Cromo/negro 5xe14 (72x60)
412;019755010;Lampara Cristal Serie Atenas Cromo/plata 5xe14 (72x60)
414;019755018;Lampara Cristal Serie Atenas Cromo/berenjena 5xe14 (72x60)
415;019758009;Lampara Cristal Serie Atenas Cromo/negro 8xe14 (79x71)
416;019758010;Lampara Cristal Serie Atenas Cromo/plata 8xe14 (79x71)
418;019758018;Lampara Cristal Serie Atenas Cromo/berenjena 8xe14 (79x71)
427;019771109;Sobremesa Grand. Cristal Serie Atenas Cromo/negro 1xe14 (53x28)
428;019771110;Sobremesa Grand. Cristal Serie Atenas Cromo/plata 1xe14 (53x28)
429;019771115;Sobremesa Grand. Cristal Serie Atenas Cromo/beis 1xe14 (53x28)
430;019771118;Sobremesa Grand. Cristal Serie Atenas Cromo/berenjena 1xe14 (53x28)
435;019892220;Colgante De Polimero Serie Oviedo Tramsp/cromo 1xe27 (31x22.5) 
436;020092237;Colgante De Polimero Serie Aviles Multicolor 1xe27 (31.5x22.5)
437;020192220;Colgante De Polimero Serie Santander Transp/cromo 1xe27 (33.5x22.5)
438;020292204;Colgante De Polimero Serie Bilbao Naranja 1xe27 (33x22.5)
439;020394009;Colgante De Polimero Serie Vitoria Negro 1xe27 (43x40)
440;020494026;Colgante De Polimero Serie Logroño Blanco/negro 1xe27 (43x40)
442;020771015;Sobremesa Serie Albufeira Beis 1xe27 61x35
443;020871015;Sobremesa Serie Faro Beis 1xe27 48x35
444;020971009;Sobremesa Serie Portimao Negro 1xe27 59x35
445;021071010;Sobremesa Serie Tavira Plata 1xe27  64x45d
446;021371009;Sobremesa Serie Silves Negro 1xe27 62x35
447;021571012;Sobremesa Serie Monte Gordo Bronce 1xe27 47x30d
453;022771001;Sobremesa Naive Blanco Metal 1xe14 (40x19)
454;022771009;Sobremesa Naive Negro Metal 1xe14 (40x19)
458;023279009;Flexo Serie Setubal 1xe14 Negro 55x52
