Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest
Fri Jun 16 2023,AMC230616C00004000,0.7,-0.025,0.58,0.73,1263,0.6853,0.8058,0.4078,4728,4.00,AMC230616P00004000,0.13,-0.005,0.13,0.15,17625,0.8314,-0.2301,0.329,138676
Fri Jun 16 2023,AMC230616C00004500,0.34,-0.055,0.31,0.36,365,0.7231,0.5634,0.5166,615,4.50,AMC230616P00004500,0.29,-0.02,0.27,0.31,1281,0.6946,-0.4422,0.4601,2954
Fri Jun 16 2023,AMC230616C00005000,0.17,-0.045,0.17,0.2,4644,0.8197,0.3427,0.4145,69270,5.00,AMC230616P00005000,0.66,0.015,0.64,0.67,1867,0.806,-0.6424,0.39,119811
Fri Jun 16 2023,AMC230616C00005500,0.12,-0.005,0.11,0.12,1038,0.9231,0.2224,0.2895,32898,5.50,AMC230616P00005500,1.07,-0.005,0.95,1.19,30,0.852,-0.7554,0.2786,691
Fri Jun 16 2023,AMC230616C00006000,0.08,-0.01,0.08,0.09,2390,1.046,0.1578,0.2071,36854,6.00,AMC230616P00006000,1.54,0.005,1.54,1.6,33,1.078,-0.8172,0.2014,110213
Fri Jun 16 2023,AMC230616C00006500,0.07,0,0.02,0.07,136,1.0473,0.1196,0.1551,978,6.50,AMC230616P00006500,1.92,-0.06,1.84,2.23,1,1.1209,-0.8541,0.1517,21
Fri Jun 16 2023,AMC230616C00007000,0.05,-0.005,0.04,0.07,705,1.2557,0.095,0.1208,29724,7.00,AMC230616P00007000,2.51,0.035,2.41,2.52,38,0,-0.8781,0.1186,2912
Fri Jun 16 2023,AMC230616C00007500,0.05,0,0.02,0.07,26,1.3361,0.078,0.0972,227,7.50,AMC230616P00007500,2.76,0,2.77,3.3,0,1.4355,-0.8947,0.0957,9
Fri Jun 16 2023,AMC230616C00008000,0.04,0,0.03,0.04,164,1.3894,0.0658,0.0803,16472,8.00,AMC230616P00008000,3.45,0,3.3,3.7,0,1.3353,-0.9067,0.0792,3585
Fri Jun 16 2023,AMC230616C00008500,0.04,-0.085,0,0.18,1,1.8302,0.0566,0.0678,1507,8.50,AMC230616P00008500,3.87,-0.055,3.8,4.2,8,1.4566,-0.9158,0.0669,8
Fri Jun 16 2023,AMC230616C00009000,0.03,-0.01,0.02,0.03,284,1.5109,0.0494,0.0582,6118,9.00,AMC230616P00009000,4.5,0.05,4.35,4.65,1,1.5704,-0.9228,0.0575,3363
Fri Jun 16 2023,AMC230616C00009500,0,0,0.01,0.74,0,3.0574,0.0438,0.0506,0,9.50,AMC230616P00009500,0,0,4.8,5.15,0,1.3482,-0.9284,0.0501,0
Fri Jun 23 2023,AMC230623C00000500,4.55,0,3.9,4.35,0,0,1,0,1,0.50,AMC230623P00000500,0,0,0,0.02,0,3.8406,-0.0025,0.0018,0
Fri Jun 23 2023,AMC230623C00001000,4.9,0,3.4,3.85,0,0,1,0,0,1.00,AMC230623P00001000,0.02,0.01,0,0.02,2,2.6171,-0.0062,0.0054,2
Fri Jun 23 2023,AMC230623C00001500,0,0,2.99,3.35,0,3.1631,1,0,0,1.50,AMC230623P00001500,0,0,0,0.75,0,4.9703,-0.0126,0.0124,0
Fri Jun 23 2023,AMC230623C00002000,0,0,2.47,2.84,0,2.2999,1,0,0,2.00,AMC230623P00002000,0.01,0,0,0.75,0,3.8302,-0.0235,0.0256,6
Fri Jun 23 2023,AMC230623C00002500,2.6,0,1.91,2.36,0,0,0.9977,0.0146,10,2.50,AMC230623P00002500,0.08,0,0,0.08,0,1.4302,-0.0432,0.0505,3
Fri Jun 23 2023,AMC230623C00003000,1.89,0,1.42,1.85,0,1.1243,0.9716,0.1451,8,3.00,AMC230623P00003000,0.05,-0.02,0.04,0.05,101,1.0832,-0.0797,0.0962,443
Fri Jun 23 2023,AMC230623C00003500,1.36,0.155,0.92,1.35,4,0.8002,0.8898,0.2302,4,3.50,AMC230623P00003500,0.1,0,0.1,0.12,164,1.0022,-0.149,0.174,529
Fri Jun 23 2023,AMC230623C00004000,0.76,-0.025,0.66,0.85,31,0.9274,0.745,0.3242,132,4.00,AMC230623P00004000,0.25,0.01,0.22,0.29,180,0.9845,-0.2719,0.2727,12454
Fri Jun 23 2023,AMC230623C00004500,0.5,-0.02,0.39,0.58,21,0.9571,0.5578,0.3588,571,4.50,AMC230623P00004500,0.44,-0.005,0.41,0.46,105,0.8707,-0.4364,0.3241,2055
Fri Jun 23 2023,AMC230623C00005000,0.32,-0.015,0.29,0.34,363,1.0015,0.3973,0.3182,3217,5.00,AMC230623P00005000,0.78,0.005,0.74,0.84,247,0.9512,-0.5829,0.2985,16971
Fri Jun 23 2023,AMC230623C00005500,0.21,-0.025,0.2,0.23,6278,1.0609,0.2882,0.2573,6743,5.50,AMC230623P00005500,1.22,-0.04,1.1,1.25,238,0.9869,-0.6852,0.246,753
