Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest
Wed May 24 2023,NDXP230524C13740000,125.15,-34.2,114.8,125.7,12,0.1424,0.6239,0.0016,33,13740.00,NDXP230524P13740000,72.81,2.11,58.9,65,1,0.1418,-0.3759,0.0016,1
Wed May 24 2023,NDXP230524C13750000,154.17,2.77,108.6,119.2,1,0.1409,0.6079,0.0017,42,13750.00,NDXP230524P13750000,70.8,-3.15,63,69,2,0.1409,-0.392,0.0017,2
Wed May 24 2023,NDXP230524C13760000,115.2,0,102.5,112.8,0,0.1401,0.5914,0.0017,9,13760.00,NDXP230524P13760000,0,0,66.7,73.3,0,0.1397,-0.4084,0.0017,0
Wed May 24 2023,NDXP230524C13770000,154.97,16.52,96.8,106.8,1,0.1396,0.5747,0.0017,12,13770.00,NDXP230524P13770000,0,0,70.7,77.3,0,0.1395,-0.4252,0.0017,0
Wed May 24 2023,NDXP230524C13775000,128.48,-6.42,93.9,103.8,2,0.1392,0.5662,0.0017,3,13775.00,NDXP230524P13775000,76.02,-8.23,72.7,79.4,2,0.1392,-0.4337,0.0017,3
Wed May 24 2023,NDXP230524C13780000,127.88,-4.07,91.1,100.8,1,0.1388,0.5576,0.0018,1,13780.00,NDXP230524P13780000,90.3,5.55,74.8,81.5,4,0.1388,-0.4422,0.0018,2
Wed May 24 2023,NDXP230524C13790000,93.8,-32.3,85.6,95.1,11,0.1379,0.5402,0.0018,6,13790.00,NDXP230524P13790000,0,0,79.2,85.9,0,0.1381,-0.4596,0.0018,0
Wed May 24 2023,NDXP230524C13800000,94.5,-25.3,80.5,89.7,20,0.1375,0.5226,0.0018,11,13800.00,NDXP230524P13800000,94.1,0,83.7,90.5,22,0.1374,-0.4772,0.0018,6
Wed May 24 2023,NDXP230524C13810000,89.6,0,75.3,83.2,0,0.1377,0.5048,0.0018,10,13810.00,NDXP230524P13810000,0,0,86.9,96.3,0,0.1363,-0.495,0.0018,0
Wed May 24 2023,NDXP230524C13820000,82.14,-26.26,71.5,78.2,19,0.1362,0.4869,0.0018,31,13820.00,NDXP230524P13820000,0,0,92.2,102,0,0.1355,-0.513,0.0018,0
Wed May 24 2023,NDXP230524C13825000,85.66,-21.69,69.1,75.7,4,0.136,0.4779,0.0018,2,13825.00,NDXP230524P13825000,109.17,5.42,94.7,104.7,1,0.1357,-0.522,0.0018,1
Wed May 24 2023,NDXP230524C13830000,74.52,-28.63,66.7,73.4,12,0.1356,0.4688,0.0018,11,13830.00,NDXP230524P13830000,0,0,97.3,107.4,0,0.1349,-0.531,0.0018,0
Wed May 24 2023,NDXP230524C13840000,80.98,-17.07,62.2,68.8,19,0.1348,0.4507,0.0018,27,13840.00,NDXP230524P13840000,0,0,101.9,112.4,0,0.1348,-0.5492,0.0018,0
Wed May 24 2023,NDXP230524C13850000,64.4,-28.55,58.8,63.1,21,0.1343,0.4326,0.0018,18,13850.00,NDXP230524P13850000,119.25,3.75,107.3,118.2,4,0.1345,-0.5673,0.0018,3
