
Standard & Poors 500 Index,Last: 3860.8101,Change:  -59.7499
"Date: 15 de marzo de 2023, 11:55 GMT-4",Bid: 3859.6299,Ask: 3861.51,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Wed Mar 15 2023,SPXW230315C03790000,72.88,-35.82,71.1,71.9,260,0.5324,0.9404,0.0025,23,3790.00,SPXW230315P03790000,1.32,0.07,1.3,1.35,7963,0.5486,-0.0596,0.0025,1294
Wed Mar 15 2023,SPXW230315C03795000,68.08,-35.82,66.4,67.1,146,0.5311,0.9292,0.0029,1,3795.00,SPXW230315P03795000,1.58,0.13,1.6,1.65,6762,0.5429,-0.0708,0.0029,1143
Wed Mar 15 2023,SPXW230315C03800000,65.26,-33.89,61.7,62.5,171,0.5245,0.9161,0.0034,137,3800.00,SPXW230315P03800000,2,0.3,1.95,2,27464,0.5367,-0.0839,0.0034,3348
Wed Mar 15 2023,SPXW230315C03805000,58.78,-35.62,57.1,57.9,72,0.5204,0.9008,0.0039,53,3805.00,SPXW230315P03805000,2.25,0.25,2.35,2.4,5849,0.5262,-0.0992,0.0039,1042
Wed Mar 15 2023,SPXW230315C03810000,54.23,-35.62,52.6,53.3,144,0.5145,0.8831,0.0044,144,3810.00,SPXW230315P03810000,2.65,0.35,2.75,2.85,6479,0.5196,-0.1169,0.0044,1875
Wed Mar 15 2023,SPXW230315C03815000,52.88,-32.27,48.2,48.8,59,0.5011,0.8626,0.005,55,3815.00,SPXW230315P03815000,3.1,0.4,3.3,3.4,4744,0.5111,-0.1374,0.005,1206
Wed Mar 15 2023,SPXW230315C03820000,46.6,-34.05,43.8,44.5,179,0.4964,0.839,0.0057,143,3820.00,SPXW230315P03820000,3.7,0.6,3.9,4.1,7064,0.503,-0.161,0.0057,2483
Wed Mar 15 2023,SPXW230315C03825000,38,-38.15,39.6,40.2,193,0.4886,0.8121,0.0063,162,3825.00,SPXW230315P03825000,4.7,1.1,4.7,4.9,7086,0.4945,-0.1879,0.0063,3945
Wed Mar 15 2023,SPXW230315C03830000,42,-29.7,35.5,36.1,246,0.4837,0.7816,0.007,96,3830.00,SPXW230315P03830000,5.42,1.22,5.6,5.8,6390,0.4891,-0.2184,0.007,1498
Wed Mar 15 2023,SPXW230315C03835000,31.7,-35.65,31.6,32.2,461,0.4767,0.7473,0.0077,97,3835.00,SPXW230315P03835000,6.8,1.9,6.7,6.8,3083,0.4817,-0.2527,0.0077,1244
Wed Mar 15 2023,SPXW230315C03840000,27.63,-35.42,28,28.4,1150,0.4709,0.7092,0.0084,91,3840.00,SPXW230315P03840000,7.7,2.1,8,8.1,6829,0.4755,-0.2908,0.0084,1235
Wed Mar 15 2023,SPXW230315C03845000,23.7,-35.15,24.5,24.8,1436,0.467,0.6676,0.009,148,3845.00,SPXW230315P03845000,9,2.6,9.5,9.6,4335,0.4698,-0.3324,0.009,742
Wed Mar 15 2023,SPXW230315C03850000,21.79,-33.01,21.3,21.5,3093,0.4611,0.6226,0.0095,417,3850.00,SPXW230315P03850000,11.1,3.8,11.2,11.4,12398,0.4638,-0.3774,0.0095,3740
Wed Mar 15 2023,SPXW230315C03855000,19.3,-31.45,18.3,18.5,2641,0.456,0.575,0.0099,373,3855.00,SPXW230315P03855000,12.5,4.1,13.2,13.4,4202,0.46,-0.425,0.0099,777
